'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.453';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'0.207';'4.443';0.0
'1.397';'4.373';0.0
'1.399';'4.433';0.0
'1.383';'4.463';0.0
'1.368';'4.504';0.0
'1.357';'4.536';0.0
'1.352';'4.567';0.0
'1.349';'4.610';0.0
'1.348';'4.631';0.0
'1.348';'4.664';0.0
'1.353';'4.685';0.0
'1.351';'4.707';0.0
'1.353';'4.718';0.0
'1.352';'4.740';0.0
'1.354';'4.751';0.0
'1.352';'4.774';0.0
'1.349';'4.785';0.0
'1.345';'4.796';0.0
'1.341';'4.808';0.0
'1.337';'4.819';0.0
'1.331';'4.819';0.0
'1.403';'4.631';0.0
'1.416';'4.610';0.0
'1.410';'4.610';0.0
'1.405';'4.610';0.0
'1.399';'4.610';0.0
